ADMIN0,date,CS_1,CS_2,CS_3,ML1_2,ML1_3,ML2_1,ML2_2,ML2_3,CS_4,CS_5,ML1_1,ML1_4,ML1_5,ML2_4,ML2_5,pop_CS,pop_total_CS,pop_ML1,pop_total_ML1,pop_ML2,pop_total_ML2,perc_CS_1,perc_CS_2,perc_CS_3,perc_CS_4,perc_CS_5,CS_3p,perc_CS_3p,CS_4p,perc_CS_4p,CS_2m,perc_CS_2m,perc_ML1_1,perc_ML1_2,perc_ML1_3,perc_ML1_4,perc_ML1_5,ML1_3p,perc_ML1_3p,ML1_4p,perc_ML1_4p,ML1_2m,perc_ML1_2m,perc_ML2_1,perc_ML2_2,perc_ML2_3,perc_ML2_4,perc_ML2_5,ML2_3p,perc_ML2_3p,ML2_4p,perc_ML2_4p,ML2_2m,perc_ML2_2m,perc_inc_ML2_3p,perc_inc_ML1_3p,CS_99,ML1_99,ML2_99,period_ML1,period_ML2
Tchad,2009-07-01,2605764.0,6779351.5,2010339.75,8030416.5,3365042.0,5793049.5,5602407.5,0.0,0.0,0,0.0,0.0,0,0.0,0,11395455.25,11395455.25,11395458.5,11395458.5,11395457.0,11395457.0,22.86669503616365,59.49171271590926,17.641592247927086,0.0,0.0,2010339.75,17.641592247927086,0.0,0.0,9385115.5,82.35840775207292,0.0,70.47032376977197,29.529676230228034,0.0,0.0,3365042.0,29.529676230228034,0.0,0.0,8030416.5,70.47032376977197,50.83648246840824,49.16351753159176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11395457.0,100.0,-17.641592247927086,11.888083982300948,,,,Jul - Sep 2009,Oct - Dec 2009
Tchad,2009-10-01,181243.234375,9389823.0,1824392.5,4788642.0,0.0,4104929.0,7290528.5,0.0,0.0,0,6606815.5,0.0,0,0.0,0,11395458.734375,11395458.734375,11395457.5,11395457.5,11395457.5,11395457.5,1.5904865139677988,82.39969288533428,16.00982060069793,0.0,0.0,1824392.5,16.00982060069793,0.0,0.0,9571066.234375,83.99017939930208,57.97762397867747,42.022376021322536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11395457.5,100.0,36.0225028262358,63.9774971737642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11395457.5,100.0,-16.00982060069793,-16.00982060069793,,,,Oct - Dec 2009,Jan - Mar 2010
Tchad,2010-01-01,3356704.75,8133932.5,287301.1875,10179610.0,1175574.375,0.0,5282740.0,6207896.5,0.0,0,422757.125,0.0,0,287301.1875,0,11777938.4375,11777938.4375,11777941.5,11777941.5,11777937.6875,11777937.6875,28.499934583734323,69.06074898559683,2.439316430668854,0.0,0.0,287301.1875,2.439316430668854,0.0,0.0,11490637.25,97.56068356933115,3.58939739172588,86.42944949251107,9.981153115763055,0.0,0.0,1175574.375,9.981153115763055,0.0,0.0,10602367.125,90.01884688423695,0.0,44.85284385233763,52.70783956166179,2.4393165860005745,0.0,6495197.6875,55.14715614766238,287301.1875,2.4393165860005745,5282740.0,44.85284385233763,52.707839716993526,7.541836685094201,,,,Jan - Mar 2010,Apr - Jun 2010
Tchad,2010-04-01,0.0,7967163.5,3810774.5,7967163.5,3810774.5,0.0,7598715.5,4179222.75,0.0,0,0.0,0.0,0,0.0,0,11777938.0,11777938.0,11777938.0,11777938.0,11777938.25,11777938.25,0.0,67.64480760554183,32.35519239445818,0.0,0.0,3810774.5,32.35519239445818,0.0,0.0,7967163.5,67.64480760554183,0.0,67.64480760554183,32.35519239445818,0.0,0.0,3810774.5,32.35519239445818,0.0,0.0,7967163.5,67.64480760554183,0.0,64.51651671717671,35.48348328282329,0.0,0.0,4179222.75,35.48348328282329,0.0,0.0,7598715.5,64.51651671717671,3.1282908883651146,0.0,,,,Apr - Jun 2010,Jul - Sep 2010
Tchad,2010-07-01,0.0,5881807.0,4070763.0,4680170.5,4712475.5,5142742.0,6635195.5,0.0,1825368.0,0,0.0,2385291.5,0,0.0,0,11777938.0,11777938.0,11777937.5,11777937.5,11777937.5,11777937.5,0.0,49.93919139326425,34.562611893524995,15.498196713210751,0.0,5896131.0,50.060808606735755,1825368.0,15.498196713210751,5881807.0,49.93919139326425,0.0,39.73675781519472,40.01104183139026,20.252200353415017,0.0,7097767.0,60.26324218480528,2385291.5,20.252200353415017,4680170.5,39.73675781519472,43.66419842183744,56.33580157816256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11777937.5,100.0,-50.060808606735755,10.202433578069524,,,,Jul - Sep 2010,Oct - Dec 2010
Tchad,2010-10-01,5204446.0,5245192.5,1328299.75,5718057.0,855436.3125,3852758.5,4537107.5,3388070.25,0.0,0,5204446.0,0.0,0,0.0,0,11777938.25,11777938.25,11777939.3125,11777939.3125,11777936.25,11777936.25,44.18809039009862,44.53404652550289,11.277863084398493,0.0,0.0,1328299.75,11.277863084398493,0.0,0.0,10449638.5,88.7221369156015,44.18808640384561,48.54887470791593,7.263038888238456,0.0,0.0,855436.3125,7.263038888238456,0.0,0.0,10922503.0,92.73696111176154,32.71166033013636,38.52209252703334,28.76624714283031,0.0,0.0,3388070.25,28.76624714283031,0.0,0.0,8389866.0,71.23375285716969,17.488384058431816,-4.0148241961600375,,,,Oct - Dec 2010,Jan - Mar 2011
Tchad,2011-01-01,5352635.1875,6821035.837890625,0.0,6165647.494140625,380710.890625,274677.453125,9822004.251953125,2076989.3203125,0.0,0,5627312.640625,0.0,0,0.0,0,12173671.025390625,12173671.025390625,12173671.025390625,12173671.025390625,12173671.025390625,12173671.025390625,43.968948859682584,56.03105114031742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12173671.025390625,100.0,46.22527279477254,50.64739700359024,3.1273302016372164,0.0,0.0,380710.890625,3.1273302016372164,0.0,0.0,11792960.134765625,96.8726697983628,2.2563239350899598,80.68235318226829,17.061322882641754,0.0,0.0,2076989.3203125,17.061322882641754,0.0,0.0,10096681.705078125,82.93867711735824,17.061322882641754,3.1273302016372164,,,,Jan - Mar 2011,Apr - Jun 2011
Tchad,2011-04-01,274677.453125,9236235.9375,2662757.634765625,6563537.96875,3964526.681640625,1573569.28125,4545744.6875,6054357.056640625,0.0,0,1645606.375,0.0,0,0.0,0,12173671.025390625,12173671.025390625,12173671.025390625,12173671.025390625,12173671.025390625,12173671.025390625,2.2563239350899598,75.8705892268321,21.873086838077942,0.0,0.0,2662757.634765625,21.873086838077942,0.0,0.0,9510913.390625,78.12691316192205,13.51774967113666,53.915848022017585,32.566402306845745,0.0,0.0,3964526.681640625,32.566402306845745,0.0,0.0,8209144.34375,67.43359769315425,12.92600463712225,37.3407879843224,49.73320737855535,0.0,0.0,6054357.056640625,49.73320737855535,0.0,0.0,6119313.96875,50.26679262144466,27.860120540477407,10.693315468767803,,,,Apr - Jun 2011,Jul - Sep 2011
Tchad,2011-07-01,4310443.75,5332815.095703125,2530412.1796875,7863227.275390625,0.0,12173671.025390625,0.0,0.0,0.0,0,4310443.75,0.0,0,0.0,0,12173671.025390625,12173671.025390625,12173671.025390625,12173671.025390625,12173671.025390625,12173671.025390625,35.407920429340564,43.80613772608503,20.785941844574403,0.0,0.0,2530412.1796875,20.785941844574403,0.0,0.0,9643258.845703125,79.21405815542559,35.407920429340564,64.59207957065944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12173671.025390625,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12173671.025390625,100.0,-20.785941844574403,-20.785941844574403,,,,Jul - Sep 2011,Oct - Dec 2011
Tchad,2011-10-01,12173670.856079102,0.0,0.0,0.0,0.0,10760368.407836914,1413302.4482421875,0.0,0.0,0,12173670.856079102,0.0,0,0.0,0,12173670.856079102,12173670.856079102,12173670.856079102,12173670.856079102,12173670.856079102,12173670.856079102,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12173670.856079102,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12173670.856079102,100.0,88.39049893043203,11.609501069567969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12173670.856079102,100.0,0.0,0.0,,,,Oct - Dec 2011,Jan - Mar 2012
Tchad,2012-01-01,8854845.492706299,0.0,0.0,0.0,0.0,7409714.082550049,1445131.41015625,0.0,0.0,0,8854845.492706299,0.0,0,0.0,0,8854845.492706299,12581905.32107544,8854845.492706299,12581905.32107544,8854845.492706299,12581905.32107544,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8854845.492706299,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8854845.492706299,100.0,83.67976706824982,16.32023293175018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8854845.492706299,100.0,0.0,0.0,3727059.8283691406,3727059.8283691406,3727059.8283691406,Jan - Mar 2012,Apr - Jun 2012
Tchad,2012-04-01,7766932.285675049,4415067.877197266,399905.158203125,4415067.877197266,399905.158203125,7205447.051300049,5376458.269775391,0.0,0.0,0,7766932.285675049,0.0,0,0.0,0,12581905.32107544,12581905.32107544,12581905.32107544,12581905.32107544,12581905.32107544,12581905.32107544,61.7309706874441,35.09061437461117,3.178414937944733,0.0,0.0,399905.158203125,3.178414937944733,0.0,0.0,12182000.162872314,96.82158506205528,61.7309706874441,35.09061437461117,3.178414937944733,0.0,0.0,399905.158203125,3.178414937944733,0.0,0.0,12182000.162872314,96.82158506205528,57.26832993434227,42.73167006565773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12581905.32107544,100.0,-3.178414937944733,0.0,,,,Apr - Jun 2012,Jul - Sep 2012
Tchad,2012-07-01,8819689.059112549,3762216.2619628906,0.0,2245273.6604003906,0.0,12581905.32107544,0.0,0.0,0.0,0,10336631.660675049,0.0,0,0.0,0,12581905.32107544,12581905.32107544,12581905.32107544,12581905.32107544,12581905.32107544,12581905.32107544,70.09819923170973,29.901800768290276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12581905.32107544,100.0,82.15474045382122,17.84525954617878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12581905.32107544,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12581905.32107544,100.0,0.0,0.0,,,,Jul - Sep 2012,Oct - Dec 2012
Tchad,2012-10-01,12581905.32107544,0.0,0.0,0.0,0.0,12581905.32107544,0.0,0.0,0.0,0,12581905.32107544,0.0,0,0.0,0,12581905.32107544,12581905.32107544,12581905.32107544,12581905.32107544,12581905.32107544,12581905.32107544,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12581905.32107544,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12581905.32107544,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12581905.32107544,100.0,0.0,0.0,,,,Oct - Dec 2012,Jan - Mar 2013
Tchad,2013-01-01,13015826.746002197,0.0,0.0,0.0,0.0,13015826.746002197,0.0,0.0,0.0,0,13015826.746002197,0.0,0,0.0,0,13015826.746002197,13015826.746002197,13015826.746002197,13015826.746002197,13015826.746002197,13015826.746002197,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13015826.746002197,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13015826.746002197,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13015826.746002197,100.0,0.0,0.0,,,,Jan - Mar 2013,Apr - Jun 2013
Tchad,2013-04-01,13015826.746002197,0.0,0.0,0.0,0.0,9372596.94140625,3643229.8045959473,0.0,0.0,0,13015826.746002197,0.0,0,0.0,0,13015826.746002197,13015826.746002197,13015826.746002197,13015826.746002197,13015826.746002197,13015826.746002197,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13015826.746002197,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13015826.746002197,100.0,72.00923248525136,27.990767514748633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13015826.746002197,100.0,0.0,0.0,,,,Apr - Jun 2013,Jul - Sep 2013
Tchad,2013-07-01,10116310.083892822,2899516.662109375,0.0,2899516.662109375,0.0,13015826.746002197,0.0,0.0,0.0,0,10116310.083892822,0.0,0,0.0,0,13015826.746002197,13015826.746002197,13015826.746002197,13015826.746002197,13015826.746002197,13015826.746002197,77.72314645322119,22.276853546778806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13015826.746002197,100.0,77.72314645322119,22.276853546778806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13015826.746002197,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13015826.746002197,100.0,0.0,0.0,,,,Jul - Sep 2013,Oct - Dec 2013
Tchad,2013-10-01,13015826.746002197,0.0,0.0,0.0,0.0,10796196.947265625,2219629.7987365723,0.0,0.0,0,13015826.746002197,0.0,0,0.0,0,13015826.746002197,13015826.746002197,13015826.746002197,13015826.746002197,13015826.746002197,13015826.746002197,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13015826.746002197,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13015826.746002197,100.0,82.94668604575325,17.05331395424674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13015826.746002197,100.0,0.0,0.0,,,,Oct - Dec 2013,Jan - Mar 2014
Tchad,2014-01-01,11770290.82421875,1678642.8045654297,0.0,1678642.8045654297,0.0,11361169.38671875,1189043.1856689453,898721.0563964844,0.0,0,11770290.82421875,0.0,0,0.0,0,13448933.62878418,13448933.62878418,13448933.62878418,13448933.62878418,13448933.62878418,13448933.62878418,87.51839475976963,12.481605240230364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13448933.62878418,100.0,87.51839475976963,12.481605240230364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13448933.62878418,100.0,84.47635850029718,8.84117074623736,6.682470753465464,0.0,0.0,898721.0563964844,6.682470753465464,0.0,0.0,12550212.572387695,93.31752924653453,6.682470753465464,0.0,,,,Jan - Mar 2014,Apr - Jun 2014
Tchad,2014-04-01,9306748.90234375,3137228.3380126953,1004956.3884277344,3137228.3380126953,1004956.3884277344,9306748.90234375,3137228.3380126953,1004956.3884277344,0.0,0,9306748.90234375,0.0,0,0.0,0,13448933.62878418,13448933.62878418,13448933.62878418,13448933.62878418,13448933.62878418,13448933.62878418,69.20064563650541,23.326967212465227,7.47238715102935,0.0,0.0,1004956.3884277344,7.47238715102935,0.0,0.0,12443977.240356445,92.52761284897065,69.20064563650541,23.326967212465227,7.47238715102935,0.0,0.0,1004956.3884277344,7.47238715102935,0.0,0.0,12443977.240356445,92.52761284897065,69.20064563650541,23.326967212465227,7.47238715102935,0.0,0.0,1004956.3884277344,7.47238715102935,0.0,0.0,12443977.240356445,92.52761284897065,0.0,0.0,,,,Apr - Jun 2014,Jul - Sep 2014
Tchad,2014-07-01,11145650.52734375,1298326.7130126953,1004956.3884277344,1298326.7130126953,1004956.3884277344,13320787.80065918,128145.828125,0.0,0.0,0,11145650.52734375,0.0,0,0.0,0,13448933.62878418,13448933.62878418,13448933.62878418,13448933.62878418,13448933.62878418,13448933.62878418,82.87386074602368,9.653752102946973,7.47238715102935,0.0,0.0,1004956.3884277344,7.47238715102935,0.0,0.0,12443977.240356445,92.52761284897065,82.87386074602368,9.653752102946973,7.47238715102935,0.0,0.0,1004956.3884277344,7.47238715102935,0.0,0.0,12443977.240356445,92.52761284897065,99.04716736908617,0.9528326309138364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13448933.62878418,100.0,-7.47238715102935,0.0,,,,Jul - Sep 2014,Oct - Dec 2014
