,ADM1_EN,date,pred_date,pred_date_end,perc_threshold,threshold_reached
0,Addis Ababa,2017-03-16,2017-06-16,2017-08-16,,0
11,Tigray,2017-03-16,2017-06-16,2017-08-16,33.33333333333333,1
10,Somali,2017-03-16,2017-06-16,2017-08-16,0.0,0
9,SNNP,2017-03-16,2017-06-16,2017-08-16,0.0,0
7,Oromia,2017-03-16,2017-06-16,2017-08-16,0.0,0
6,Harari,2017-03-16,2017-06-16,2017-08-16,0.0,0
8,Sidama,2017-03-16,2017-06-16,2017-08-16,0.0,0
4,Dire Dawa,2017-03-16,2017-06-16,2017-08-16,0.0,0
3,Benishangul Gumz,2017-03-16,2017-06-16,2017-08-16,5.88235294117647,0
2,Amhara,2017-03-16,2017-06-16,2017-08-16,22.966507177033492,1
1,Afar,2017-03-16,2017-06-16,2017-08-16,22.131147540983605,1
5,Gambela,2017-03-16,2017-06-16,2017-08-16,0.0,0
7,Oromia,2017-04-16,2017-07-16,2017-09-16,39.906103286384976,1
11,Tigray,2017-04-16,2017-07-16,2017-09-16,0.0,0
10,Somali,2017-04-16,2017-07-16,2017-09-16,0.0,0
9,SNNP,2017-04-16,2017-07-16,2017-09-16,74.21875,1
8,Sidama,2017-04-16,2017-07-16,2017-09-16,100.0,1
6,Harari,2017-04-16,2017-07-16,2017-09-16,0.0,0
2,Amhara,2017-04-16,2017-07-16,2017-09-16,4.784688995215311,0
4,Dire Dawa,2017-04-16,2017-07-16,2017-09-16,0.0,0
3,Benishangul Gumz,2017-04-16,2017-07-16,2017-09-16,0.0,0
1,Afar,2017-04-16,2017-07-16,2017-09-16,18.0327868852459,1
0,Addis Ababa,2017-04-16,2017-07-16,2017-09-16,,0
5,Gambela,2017-04-16,2017-07-16,2017-09-16,88.88888888888889,1
7,Oromia,2017-05-16,2017-08-16,2017-10-16,29.577464788732392,1
11,Tigray,2017-05-16,2017-08-16,2017-10-16,5.797101449275362,0
10,Somali,2017-05-16,2017-08-16,2017-10-16,14.074074074074074,1
9,SNNP,2017-05-16,2017-08-16,2017-10-16,25.78125,1
6,Harari,2017-05-16,2017-08-16,2017-10-16,100.0,1
8,Sidama,2017-05-16,2017-08-16,2017-10-16,33.33333333333333,1
4,Dire Dawa,2017-05-16,2017-08-16,2017-10-16,0.0,0
3,Benishangul Gumz,2017-05-16,2017-08-16,2017-10-16,0.0,0
5,Gambela,2017-05-16,2017-08-16,2017-10-16,0.0,0
2,Amhara,2017-05-16,2017-08-16,2017-10-16,9.569377990430622,0
1,Afar,2017-05-16,2017-08-16,2017-10-16,3.278688524590164,0
0,Addis Ababa,2017-05-16,2017-08-16,2017-10-16,,0
10,Somali,2017-06-16,2017-09-16,2017-11-16,0.0,0
9,SNNP,2017-06-16,2017-09-16,2017-11-16,0.0,0
8,Sidama,2017-06-16,2017-09-16,2017-11-16,0.0,0
7,Oromia,2017-06-16,2017-09-16,2017-11-16,0.0,0
6,Harari,2017-06-16,2017-09-16,2017-11-16,0.0,0
11,Tigray,2017-06-16,2017-09-16,2017-11-16,0.0,0
4,Dire Dawa,2017-06-16,2017-09-16,2017-11-16,0.0,0
3,Benishangul Gumz,2017-06-16,2017-09-16,2017-11-16,0.0,0
2,Amhara,2017-06-16,2017-09-16,2017-11-16,0.0,0
1,Afar,2017-06-16,2017-09-16,2017-11-16,0.0,0
0,Addis Ababa,2017-06-16,2017-09-16,2017-11-16,,0
5,Gambela,2017-06-16,2017-09-16,2017-11-16,0.0,0
11,Tigray,2017-07-16,2017-10-16,2017-12-16,0.0,0
10,Somali,2017-07-16,2017-10-16,2017-12-16,0.0,0
9,SNNP,2017-07-16,2017-10-16,2017-12-16,0.0,0
8,Sidama,2017-07-16,2017-10-16,2017-12-16,0.0,0
7,Oromia,2017-07-16,2017-10-16,2017-12-16,0.0,0
6,Harari,2017-07-16,2017-10-16,2017-12-16,0.0,0
5,Gambela,2017-07-16,2017-10-16,2017-12-16,0.0,0
3,Benishangul Gumz,2017-07-16,2017-10-16,2017-12-16,0.0,0
2,Amhara,2017-07-16,2017-10-16,2017-12-16,0.0,0
1,Afar,2017-07-16,2017-10-16,2017-12-16,0.0,0
0,Addis Ababa,2017-07-16,2017-10-16,2017-12-16,,0
4,Dire Dawa,2017-07-16,2017-10-16,2017-12-16,0.0,0
7,Oromia,2017-08-16,2017-11-16,2018-01-16,0.0,0
11,Tigray,2017-08-16,2017-11-16,2018-01-16,0.0,0
10,Somali,2017-08-16,2017-11-16,2018-01-16,0.0,0
9,SNNP,2017-08-16,2017-11-16,2018-01-16,0.0,0
6,Harari,2017-08-16,2017-11-16,2018-01-16,0.0,0
8,Sidama,2017-08-16,2017-11-16,2018-01-16,0.0,0
4,Dire Dawa,2017-08-16,2017-11-16,2018-01-16,0.0,0
0,Addis Ababa,2017-08-16,2017-11-16,2018-01-16,,0
1,Afar,2017-08-16,2017-11-16,2018-01-16,0.0,0
5,Gambela,2017-08-16,2017-11-16,2018-01-16,0.0,0
3,Benishangul Gumz,2017-08-16,2017-11-16,2018-01-16,0.0,0
2,Amhara,2017-08-16,2017-11-16,2018-01-16,0.0,0
11,Tigray,2017-09-16,2017-12-16,2018-02-16,0.0,0
10,Somali,2017-09-16,2017-12-16,2018-02-16,18.271604938271604,1
9,SNNP,2017-09-16,2017-12-16,2018-02-16,0.0,0
8,Sidama,2017-09-16,2017-12-16,2018-02-16,0.0,0
6,Harari,2017-09-16,2017-12-16,2018-02-16,0.0,0
7,Oromia,2017-09-16,2017-12-16,2018-02-16,1.4084507042253522,0
4,Dire Dawa,2017-09-16,2017-12-16,2018-02-16,0.0,0
3,Benishangul Gumz,2017-09-16,2017-12-16,2018-02-16,5.88235294117647,0
2,Amhara,2017-09-16,2017-12-16,2018-02-16,0.0,0
1,Afar,2017-09-16,2017-12-16,2018-02-16,26.229508196721312,1
0,Addis Ababa,2017-09-16,2017-12-16,2018-02-16,,0
5,Gambela,2017-09-16,2017-12-16,2018-02-16,44.44444444444444,1
7,Oromia,2017-10-16,2018-01-16,2018-03-16,0.0,0
11,Tigray,2017-10-16,2018-01-16,2018-03-16,0.0,0
10,Somali,2017-10-16,2018-01-16,2018-03-16,0.0,0
9,SNNP,2017-10-16,2018-01-16,2018-03-16,0.0,0
8,Sidama,2017-10-16,2018-01-16,2018-03-16,0.0,0
6,Harari,2017-10-16,2018-01-16,2018-03-16,0.0,0
1,Afar,2017-10-16,2018-01-16,2018-03-16,0.0,0
4,Dire Dawa,2017-10-16,2018-01-16,2018-03-16,0.0,0
3,Benishangul Gumz,2017-10-16,2018-01-16,2018-03-16,0.0,0
2,Amhara,2017-10-16,2018-01-16,2018-03-16,0.0,0
0,Addis Ababa,2017-10-16,2018-01-16,2018-03-16,,0
5,Gambela,2017-10-16,2018-01-16,2018-03-16,33.33333333333333,1
6,Harari,2017-11-16,2018-02-16,2018-04-16,0.0,0
10,Somali,2017-11-16,2018-02-16,2018-04-16,0.0,0
9,SNNP,2017-11-16,2018-02-16,2018-04-16,12.5,1
8,Sidama,2017-11-16,2018-02-16,2018-04-16,0.0,0
7,Oromia,2017-11-16,2018-02-16,2018-04-16,0.0,0
11,Tigray,2017-11-16,2018-02-16,2018-04-16,0.0,0
5,Gambela,2017-11-16,2018-02-16,2018-04-16,0.0,0
3,Benishangul Gumz,2017-11-16,2018-02-16,2018-04-16,0.0,0
2,Amhara,2017-11-16,2018-02-16,2018-04-16,0.0,0
1,Afar,2017-11-16,2018-02-16,2018-04-16,0.0,0
0,Addis Ababa,2017-11-16,2018-02-16,2018-04-16,,0
4,Dire Dawa,2017-11-16,2018-02-16,2018-04-16,0.0,0
10,Somali,2017-12-16,2018-03-16,2018-05-16,5.432098765432099,0
9,SNNP,2017-12-16,2018-03-16,2018-05-16,84.375,1
8,Sidama,2017-12-16,2018-03-16,2018-05-16,100.0,1
7,Oromia,2017-12-16,2018-03-16,2018-05-16,43.1924882629108,1
6,Harari,2017-12-16,2018-03-16,2018-05-16,0.0,0
11,Tigray,2017-12-16,2018-03-16,2018-05-16,0.0,0
4,Dire Dawa,2017-12-16,2018-03-16,2018-05-16,0.0,0
3,Benishangul Gumz,2017-12-16,2018-03-16,2018-05-16,0.0,0
2,Amhara,2017-12-16,2018-03-16,2018-05-16,0.0,0
1,Afar,2017-12-16,2018-03-16,2018-05-16,0.0,0
0,Addis Ababa,2017-12-16,2018-03-16,2018-05-16,,0
5,Gambela,2017-12-16,2018-03-16,2018-05-16,44.44444444444444,1
11,Tigray,2018-01-16,2018-04-16,2018-06-16,0.0,0
10,Somali,2018-01-16,2018-04-16,2018-06-16,53.827160493827165,1
9,SNNP,2018-01-16,2018-04-16,2018-06-16,58.59375,1
8,Sidama,2018-01-16,2018-04-16,2018-06-16,0.0,0
7,Oromia,2018-01-16,2018-04-16,2018-06-16,11.502347417840376,1
6,Harari,2018-01-16,2018-04-16,2018-06-16,0.0,0
5,Gambela,2018-01-16,2018-04-16,2018-06-16,97.77777777777777,1
3,Benishangul Gumz,2018-01-16,2018-04-16,2018-06-16,0.0,0
2,Amhara,2018-01-16,2018-04-16,2018-06-16,0.0,0
1,Afar,2018-01-16,2018-04-16,2018-06-16,0.0,0
0,Addis Ababa,2018-01-16,2018-04-16,2018-06-16,,0
4,Dire Dawa,2018-01-16,2018-04-16,2018-06-16,0.0,0
7,Oromia,2018-02-16,2018-05-16,2018-07-16,2.3474178403755865,0
11,Tigray,2018-02-16,2018-05-16,2018-07-16,0.0,0
10,Somali,2018-02-16,2018-05-16,2018-07-16,22.962962962962962,1
9,SNNP,2018-02-16,2018-05-16,2018-07-16,0.0,0
6,Harari,2018-02-16,2018-05-16,2018-07-16,0.0,0
8,Sidama,2018-02-16,2018-05-16,2018-07-16,0.0,0
4,Dire Dawa,2018-02-16,2018-05-16,2018-07-16,0.0,0
0,Addis Ababa,2018-02-16,2018-05-16,2018-07-16,,0
1,Afar,2018-02-16,2018-05-16,2018-07-16,0.0,0
5,Gambela,2018-02-16,2018-05-16,2018-07-16,0.0,0
3,Benishangul Gumz,2018-02-16,2018-05-16,2018-07-16,0.0,0
2,Amhara,2018-02-16,2018-05-16,2018-07-16,0.0,0
11,Tigray,2018-03-16,2018-06-16,2018-08-16,0.0,0
10,Somali,2018-03-16,2018-06-16,2018-08-16,0.0,0
9,SNNP,2018-03-16,2018-06-16,2018-08-16,0.0,0
8,Sidama,2018-03-16,2018-06-16,2018-08-16,0.0,0
6,Harari,2018-03-16,2018-06-16,2018-08-16,0.0,0
7,Oromia,2018-03-16,2018-06-16,2018-08-16,0.0,0
4,Dire Dawa,2018-03-16,2018-06-16,2018-08-16,0.0,0
3,Benishangul Gumz,2018-03-16,2018-06-16,2018-08-16,0.0,0
2,Amhara,2018-03-16,2018-06-16,2018-08-16,0.0,0
1,Afar,2018-03-16,2018-06-16,2018-08-16,0.0,0
0,Addis Ababa,2018-03-16,2018-06-16,2018-08-16,,0
5,Gambela,2018-03-16,2018-06-16,2018-08-16,0.0,0
7,Oromia,2018-04-16,2018-07-16,2018-09-16,0.0,0
11,Tigray,2018-04-16,2018-07-16,2018-09-16,0.0,0
10,Somali,2018-04-16,2018-07-16,2018-09-16,0.0,0
9,SNNP,2018-04-16,2018-07-16,2018-09-16,0.0,0
8,Sidama,2018-04-16,2018-07-16,2018-09-16,0.0,0
6,Harari,2018-04-16,2018-07-16,2018-09-16,0.0,0
1,Afar,2018-04-16,2018-07-16,2018-09-16,0.0,0
4,Dire Dawa,2018-04-16,2018-07-16,2018-09-16,0.0,0
3,Benishangul Gumz,2018-04-16,2018-07-16,2018-09-16,0.0,0
2,Amhara,2018-04-16,2018-07-16,2018-09-16,0.0,0
0,Addis Ababa,2018-04-16,2018-07-16,2018-09-16,,0
5,Gambela,2018-04-16,2018-07-16,2018-09-16,0.0,0
8,Sidama,2018-05-16,2018-08-16,2018-10-16,0.0,0
9,SNNP,2018-05-16,2018-08-16,2018-10-16,0.0,0
7,Oromia,2018-05-16,2018-08-16,2018-10-16,13.145539906103288,1
11,Tigray,2018-05-16,2018-08-16,2018-10-16,2.898550724637681,0
10,Somali,2018-05-16,2018-08-16,2018-10-16,5.679012345679013,0
6,Harari,2018-05-16,2018-08-16,2018-10-16,100.0,1
5,Gambela,2018-05-16,2018-08-16,2018-10-16,0.0,0
4,Dire Dawa,2018-05-16,2018-08-16,2018-10-16,0.0,0
3,Benishangul Gumz,2018-05-16,2018-08-16,2018-10-16,0.0,0
2,Amhara,2018-05-16,2018-08-16,2018-10-16,0.0,0
1,Afar,2018-05-16,2018-08-16,2018-10-16,0.0,0
0,Addis Ababa,2018-05-16,2018-08-16,2018-10-16,,0
11,Tigray,2018-06-16,2018-09-16,2018-11-16,0.0,0
10,Somali,2018-06-16,2018-09-16,2018-11-16,0.0,0
9,SNNP,2018-06-16,2018-09-16,2018-11-16,0.0,0
8,Sidama,2018-06-16,2018-09-16,2018-11-16,0.0,0
7,Oromia,2018-06-16,2018-09-16,2018-11-16,0.0,0
6,Harari,2018-06-16,2018-09-16,2018-11-16,0.0,0
4,Dire Dawa,2018-06-16,2018-09-16,2018-11-16,0.0,0
3,Benishangul Gumz,2018-06-16,2018-09-16,2018-11-16,0.0,0
2,Amhara,2018-06-16,2018-09-16,2018-11-16,0.0,0
1,Afar,2018-06-16,2018-09-16,2018-11-16,0.0,0
0,Addis Ababa,2018-06-16,2018-09-16,2018-11-16,,0
5,Gambela,2018-06-16,2018-09-16,2018-11-16,0.0,0
7,Oromia,2018-07-16,2018-10-16,2018-12-16,0.0,0
11,Tigray,2018-07-16,2018-10-16,2018-12-16,0.0,0
10,Somali,2018-07-16,2018-10-16,2018-12-16,0.0,0
9,SNNP,2018-07-16,2018-10-16,2018-12-16,0.0,0
8,Sidama,2018-07-16,2018-10-16,2018-12-16,0.0,0
6,Harari,2018-07-16,2018-10-16,2018-12-16,0.0,0
0,Addis Ababa,2018-07-16,2018-10-16,2018-12-16,,0
4,Dire Dawa,2018-07-16,2018-10-16,2018-12-16,0.0,0
3,Benishangul Gumz,2018-07-16,2018-10-16,2018-12-16,0.0,0
2,Amhara,2018-07-16,2018-10-16,2018-12-16,0.0,0
1,Afar,2018-07-16,2018-10-16,2018-12-16,0.0,0
5,Gambela,2018-07-16,2018-10-16,2018-12-16,0.0,0
6,Harari,2018-08-16,2018-11-16,2019-01-16,0.0,0
10,Somali,2018-08-16,2018-11-16,2019-01-16,0.0,0
9,SNNP,2018-08-16,2018-11-16,2019-01-16,0.0,0
8,Sidama,2018-08-16,2018-11-16,2019-01-16,0.0,0
7,Oromia,2018-08-16,2018-11-16,2019-01-16,0.0,0
11,Tigray,2018-08-16,2018-11-16,2019-01-16,0.0,0
5,Gambela,2018-08-16,2018-11-16,2019-01-16,0.0,0
3,Benishangul Gumz,2018-08-16,2018-11-16,2019-01-16,0.0,0
0,Addis Ababa,2018-08-16,2018-11-16,2019-01-16,,0
4,Dire Dawa,2018-08-16,2018-11-16,2019-01-16,0.0,0
2,Amhara,2018-08-16,2018-11-16,2019-01-16,0.0,0
1,Afar,2018-08-16,2018-11-16,2019-01-16,0.0,0
11,Tigray,2018-09-16,2018-12-16,2019-02-16,0.0,0
10,Somali,2018-09-16,2018-12-16,2019-02-16,0.0,0
9,SNNP,2018-09-16,2018-12-16,2019-02-16,0.0,0
8,Sidama,2018-09-16,2018-12-16,2019-02-16,0.0,0
6,Harari,2018-09-16,2018-12-16,2019-02-16,0.0,0
7,Oromia,2018-09-16,2018-12-16,2019-02-16,0.0,0
4,Dire Dawa,2018-09-16,2018-12-16,2019-02-16,0.0,0
3,Benishangul Gumz,2018-09-16,2018-12-16,2019-02-16,0.0,0
2,Amhara,2018-09-16,2018-12-16,2019-02-16,0.0,0
1,Afar,2018-09-16,2018-12-16,2019-02-16,0.0,0
0,Addis Ababa,2018-09-16,2018-12-16,2019-02-16,,0
5,Gambela,2018-09-16,2018-12-16,2019-02-16,0.0,0
7,Oromia,2018-10-16,2019-01-16,2019-03-16,0.0,0
10,Somali,2018-10-16,2019-01-16,2019-03-16,0.0,0
11,Tigray,2018-10-16,2019-01-16,2019-03-16,2.898550724637681,0
9,SNNP,2018-10-16,2019-01-16,2019-03-16,0.0,0
8,Sidama,2018-10-16,2019-01-16,2019-03-16,0.0,0
6,Harari,2018-10-16,2019-01-16,2019-03-16,0.0,0
1,Afar,2018-10-16,2019-01-16,2019-03-16,0.0,0
4,Dire Dawa,2018-10-16,2019-01-16,2019-03-16,0.0,0
3,Benishangul Gumz,2018-10-16,2019-01-16,2019-03-16,5.88235294117647,0
2,Amhara,2018-10-16,2019-01-16,2019-03-16,22.966507177033492,1
5,Gambela,2018-10-16,2019-01-16,2019-03-16,0.0,0
0,Addis Ababa,2018-10-16,2019-01-16,2019-03-16,,0
6,Harari,2018-11-16,2019-02-16,2019-04-16,0.0,0
11,Tigray,2018-11-16,2019-02-16,2019-04-16,0.0,0
10,Somali,2018-11-16,2019-02-16,2019-04-16,0.0,0
9,SNNP,2018-11-16,2019-02-16,2019-04-16,0.0,0
8,Sidama,2018-11-16,2019-02-16,2019-04-16,0.0,0
7,Oromia,2018-11-16,2019-02-16,2019-04-16,0.0,0
5,Gambela,2018-11-16,2019-02-16,2019-04-16,0.0,0
3,Benishangul Gumz,2018-11-16,2019-02-16,2019-04-16,0.0,0
2,Amhara,2018-11-16,2019-02-16,2019-04-16,0.0,0
1,Afar,2018-11-16,2019-02-16,2019-04-16,0.0,0
0,Addis Ababa,2018-11-16,2019-02-16,2019-04-16,,0
4,Dire Dawa,2018-11-16,2019-02-16,2019-04-16,0.0,0
10,Somali,2018-12-16,2019-03-16,2019-05-16,5.432098765432099,0
9,SNNP,2018-12-16,2019-03-16,2019-05-16,28.125,1
8,Sidama,2018-12-16,2019-03-16,2019-05-16,11.11111111111111,1
7,Oromia,2018-12-16,2019-03-16,2019-05-16,34.74178403755869,1
6,Harari,2018-12-16,2019-03-16,2019-05-16,0.0,0
11,Tigray,2018-12-16,2019-03-16,2019-05-16,0.0,0
4,Dire Dawa,2018-12-16,2019-03-16,2019-05-16,0.0,0
3,Benishangul Gumz,2018-12-16,2019-03-16,2019-05-16,0.0,0
2,Amhara,2018-12-16,2019-03-16,2019-05-16,0.0,0
1,Afar,2018-12-16,2019-03-16,2019-05-16,0.0,0
0,Addis Ababa,2018-12-16,2019-03-16,2019-05-16,,0
5,Gambela,2018-12-16,2019-03-16,2019-05-16,0.0,0
11,Tigray,2019-01-16,2019-04-16,2019-06-16,0.0,0
10,Somali,2019-01-16,2019-04-16,2019-06-16,0.0,0
9,SNNP,2019-01-16,2019-04-16,2019-06-16,17.1875,1
8,Sidama,2019-01-16,2019-04-16,2019-06-16,0.0,0
7,Oromia,2019-01-16,2019-04-16,2019-06-16,4.929577464788732,0
6,Harari,2019-01-16,2019-04-16,2019-06-16,0.0,0
5,Gambela,2019-01-16,2019-04-16,2019-06-16,93.33333333333333,1
3,Benishangul Gumz,2019-01-16,2019-04-16,2019-06-16,0.0,0
2,Amhara,2019-01-16,2019-04-16,2019-06-16,0.0,0
1,Afar,2019-01-16,2019-04-16,2019-06-16,0.0,0
0,Addis Ababa,2019-01-16,2019-04-16,2019-06-16,,0
4,Dire Dawa,2019-01-16,2019-04-16,2019-06-16,0.0,0
7,Oromia,2019-02-16,2019-05-16,2019-07-16,0.0,0
10,Somali,2019-02-16,2019-05-16,2019-07-16,0.0,0
9,SNNP,2019-02-16,2019-05-16,2019-07-16,2.34375,0
8,Sidama,2019-02-16,2019-05-16,2019-07-16,0.0,0
6,Harari,2019-02-16,2019-05-16,2019-07-16,0.0,0
11,Tigray,2019-02-16,2019-05-16,2019-07-16,46.3768115942029,1
4,Dire Dawa,2019-02-16,2019-05-16,2019-07-16,0.0,0
3,Benishangul Gumz,2019-02-16,2019-05-16,2019-07-16,0.0,0
2,Amhara,2019-02-16,2019-05-16,2019-07-16,0.0,0
1,Afar,2019-02-16,2019-05-16,2019-07-16,0.0,0
0,Addis Ababa,2019-02-16,2019-05-16,2019-07-16,,0
5,Gambela,2019-02-16,2019-05-16,2019-07-16,75.55555555555556,1
10,Somali,2019-03-16,2019-06-16,2019-08-16,0.24691358024691357,0
