,ADM1_EN,date,pred_date,pred_date_end,perc_threshold,threshold_reached
9,SNNP,2019-03-16,2019-06-16,2019-08-16,0.0,0
8,Sidama,2019-03-16,2019-06-16,2019-08-16,0.0,0
7,Oromia,2019-03-16,2019-06-16,2019-08-16,7.042253521126761,0
6,Harari,2019-03-16,2019-06-16,2019-08-16,100.0,1
11,Tigray,2019-03-16,2019-06-16,2019-08-16,0.0,0
4,Dire Dawa,2019-03-16,2019-06-16,2019-08-16,0.0,0
3,Benishangul Gumz,2019-03-16,2019-06-16,2019-08-16,0.0,0
2,Amhara,2019-03-16,2019-06-16,2019-08-16,0.0,0
1,Afar,2019-03-16,2019-06-16,2019-08-16,0.0,0
0,Addis Ababa,2019-03-16,2019-06-16,2019-08-16,,0
5,Gambela,2019-03-16,2019-06-16,2019-08-16,0.0,0
11,Tigray,2019-04-16,2019-07-16,2019-09-16,2.898550724637681,0
10,Somali,2019-04-16,2019-07-16,2019-09-16,0.0,0
9,SNNP,2019-04-16,2019-07-16,2019-09-16,0.0,0
8,Sidama,2019-04-16,2019-07-16,2019-09-16,0.0,0
7,Oromia,2019-04-16,2019-07-16,2019-09-16,0.0,0
6,Harari,2019-04-16,2019-07-16,2019-09-16,0.0,0
5,Gambela,2019-04-16,2019-07-16,2019-09-16,0.0,0
3,Benishangul Gumz,2019-04-16,2019-07-16,2019-09-16,0.0,0
2,Amhara,2019-04-16,2019-07-16,2019-09-16,0.0,0
1,Afar,2019-04-16,2019-07-16,2019-09-16,0.0,0
0,Addis Ababa,2019-04-16,2019-07-16,2019-09-16,,0
4,Dire Dawa,2019-04-16,2019-07-16,2019-09-16,0.0,0
7,Oromia,2019-05-16,2019-08-16,2019-10-16,0.0,0
11,Tigray,2019-05-16,2019-08-16,2019-10-16,49.275362318840585,1
10,Somali,2019-05-16,2019-08-16,2019-10-16,0.0,0
9,SNNP,2019-05-16,2019-08-16,2019-10-16,0.0,0
8,Sidama,2019-05-16,2019-08-16,2019-10-16,0.0,0
6,Harari,2019-05-16,2019-08-16,2019-10-16,0.0,0
5,Gambela,2019-05-16,2019-08-16,2019-10-16,0.0,0
4,Dire Dawa,2019-05-16,2019-08-16,2019-10-16,0.0,0
3,Benishangul Gumz,2019-05-16,2019-08-16,2019-10-16,25.0,1
2,Amhara,2019-05-16,2019-08-16,2019-10-16,23.923444976076556,1
1,Afar,2019-05-16,2019-08-16,2019-10-16,0.0,0
0,Addis Ababa,2019-05-16,2019-08-16,2019-10-16,,0
11,Tigray,2019-06-16,2019-09-16,2019-11-16,0.0,0
10,Somali,2019-06-16,2019-09-16,2019-11-16,0.0,0
9,SNNP,2019-06-16,2019-09-16,2019-11-16,0.0,0
8,Sidama,2019-06-16,2019-09-16,2019-11-16,0.0,0
7,Oromia,2019-06-16,2019-09-16,2019-11-16,0.0,0
6,Harari,2019-06-16,2019-09-16,2019-11-16,0.0,0
4,Dire Dawa,2019-06-16,2019-09-16,2019-11-16,0.0,0
3,Benishangul Gumz,2019-06-16,2019-09-16,2019-11-16,0.0,0
2,Amhara,2019-06-16,2019-09-16,2019-11-16,0.0,0
1,Afar,2019-06-16,2019-09-16,2019-11-16,0.0,0
0,Addis Ababa,2019-06-16,2019-09-16,2019-11-16,,0
5,Gambela,2019-06-16,2019-09-16,2019-11-16,0.0,0
7,Oromia,2019-07-16,2019-10-16,2019-12-16,7.042253521126761,0
11,Tigray,2019-07-16,2019-10-16,2019-12-16,0.0,0
10,Somali,2019-07-16,2019-10-16,2019-12-16,1.728395061728395,0
9,SNNP,2019-07-16,2019-10-16,2019-12-16,0.0,0
8,Sidama,2019-07-16,2019-10-16,2019-12-16,0.0,0
6,Harari,2019-07-16,2019-10-16,2019-12-16,0.0,0
0,Addis Ababa,2019-07-16,2019-10-16,2019-12-16,,0
4,Dire Dawa,2019-07-16,2019-10-16,2019-12-16,0.0,0
3,Benishangul Gumz,2019-07-16,2019-10-16,2019-12-16,5.88235294117647,0
2,Amhara,2019-07-16,2019-10-16,2019-12-16,0.0,0
1,Afar,2019-07-16,2019-10-16,2019-12-16,0.0,0
5,Gambela,2019-07-16,2019-10-16,2019-12-16,8.88888888888889,0
7,Oromia,2019-08-16,2019-11-16,2020-01-16,0.0,0
11,Tigray,2019-08-16,2019-11-16,2020-01-16,0.0,0
10,Somali,2019-08-16,2019-11-16,2020-01-16,0.0,0
9,SNNP,2019-08-16,2019-11-16,2020-01-16,0.0,0
8,Sidama,2019-08-16,2019-11-16,2020-01-16,0.0,0
6,Harari,2019-08-16,2019-11-16,2020-01-16,0.0,0
5,Gambela,2019-08-16,2019-11-16,2020-01-16,6.666666666666667,0
4,Dire Dawa,2019-08-16,2019-11-16,2020-01-16,0.0,0
3,Benishangul Gumz,2019-08-16,2019-11-16,2020-01-16,0.0,0
2,Amhara,2019-08-16,2019-11-16,2020-01-16,0.0,0
1,Afar,2019-08-16,2019-11-16,2020-01-16,0.0,0
0,Addis Ababa,2019-08-16,2019-11-16,2020-01-16,,0
11,Tigray,2019-09-16,2019-12-16,2020-02-16,0.0,0
10,Somali,2019-09-16,2019-12-16,2020-02-16,3.45679012345679,0
9,SNNP,2019-09-16,2019-12-16,2020-02-16,0.78125,0
8,Sidama,2019-09-16,2019-12-16,2020-02-16,0.0,0
7,Oromia,2019-09-16,2019-12-16,2020-02-16,5.868544600938967,0
6,Harari,2019-09-16,2019-12-16,2020-02-16,0.0,0
4,Dire Dawa,2019-09-16,2019-12-16,2020-02-16,0.0,0
3,Benishangul Gumz,2019-09-16,2019-12-16,2020-02-16,5.88235294117647,0
2,Amhara,2019-09-16,2019-12-16,2020-02-16,0.0,0
1,Afar,2019-09-16,2019-12-16,2020-02-16,0.0,0
0,Addis Ababa,2019-09-16,2019-12-16,2020-02-16,,0
5,Gambela,2019-09-16,2019-12-16,2020-02-16,68.88888888888889,1
7,Oromia,2019-10-16,2020-01-16,2020-03-16,8.685446009389672,0
11,Tigray,2019-10-16,2020-01-16,2020-03-16,0.0,0
10,Somali,2019-10-16,2020-01-16,2020-03-16,0.0,0
9,SNNP,2019-10-16,2020-01-16,2020-03-16,4.6875,0
8,Sidama,2019-10-16,2020-01-16,2020-03-16,0.0,0
6,Harari,2019-10-16,2020-01-16,2020-03-16,0.0,0
0,Addis Ababa,2019-10-16,2020-01-16,2020-03-16,,0
4,Dire Dawa,2019-10-16,2020-01-16,2020-03-16,0.0,0
3,Benishangul Gumz,2019-10-16,2020-01-16,2020-03-16,0.0,0
2,Amhara,2019-10-16,2020-01-16,2020-03-16,0.0,0
1,Afar,2019-10-16,2020-01-16,2020-03-16,0.0,0
5,Gambela,2019-10-16,2020-01-16,2020-03-16,93.33333333333333,1
7,Oromia,2019-11-16,2020-02-16,2020-04-16,0.0,0
11,Tigray,2019-11-16,2020-02-16,2020-04-16,0.0,0
10,Somali,2019-11-16,2020-02-16,2020-04-16,0.0,0
9,SNNP,2019-11-16,2020-02-16,2020-04-16,12.5,1
8,Sidama,2019-11-16,2020-02-16,2020-04-16,0.0,0
6,Harari,2019-11-16,2020-02-16,2020-04-16,0.0,0
5,Gambela,2019-11-16,2020-02-16,2020-04-16,0.0,0
4,Dire Dawa,2019-11-16,2020-02-16,2020-04-16,0.0,0
3,Benishangul Gumz,2019-11-16,2020-02-16,2020-04-16,0.0,0
2,Amhara,2019-11-16,2020-02-16,2020-04-16,0.0,0
1,Afar,2019-11-16,2020-02-16,2020-04-16,0.0,0
0,Addis Ababa,2019-11-16,2020-02-16,2020-04-16,,0
10,Somali,2019-12-16,2020-03-16,2020-05-16,0.0,0
9,SNNP,2019-12-16,2020-03-16,2020-05-16,76.5625,1
8,Sidama,2019-12-16,2020-03-16,2020-05-16,66.66666666666666,1
7,Oromia,2019-12-16,2020-03-16,2020-05-16,32.629107981220656,1
6,Harari,2019-12-16,2020-03-16,2020-05-16,0.0,0
11,Tigray,2019-12-16,2020-03-16,2020-05-16,0.0,0
4,Dire Dawa,2019-12-16,2020-03-16,2020-05-16,0.0,0
3,Benishangul Gumz,2019-12-16,2020-03-16,2020-05-16,13.23529411764706,1
2,Amhara,2019-12-16,2020-03-16,2020-05-16,0.0,0
1,Afar,2019-12-16,2020-03-16,2020-05-16,0.0,0
0,Addis Ababa,2019-12-16,2020-03-16,2020-05-16,,0
5,Gambela,2019-12-16,2020-03-16,2020-05-16,88.88888888888889,1
11,Tigray,2020-01-16,2020-04-16,2020-06-16,0.0,0
10,Somali,2020-01-16,2020-04-16,2020-06-16,0.0,0
9,SNNP,2020-01-16,2020-04-16,2020-06-16,35.9375,1
8,Sidama,2020-01-16,2020-04-16,2020-06-16,0.0,0
7,Oromia,2020-01-16,2020-04-16,2020-06-16,5.39906103286385,0
6,Harari,2020-01-16,2020-04-16,2020-06-16,0.0,0
5,Gambela,2020-01-16,2020-04-16,2020-06-16,100.0,1
3,Benishangul Gumz,2020-01-16,2020-04-16,2020-06-16,5.88235294117647,0
2,Amhara,2020-01-16,2020-04-16,2020-06-16,0.0,0
1,Afar,2020-01-16,2020-04-16,2020-06-16,0.0,0
0,Addis Ababa,2020-01-16,2020-04-16,2020-06-16,,0
4,Dire Dawa,2020-01-16,2020-04-16,2020-06-16,0.0,0
7,Oromia,2020-02-16,2020-05-16,2020-07-16,0.0,0
10,Somali,2020-02-16,2020-05-16,2020-07-16,0.0,0
9,SNNP,2020-02-16,2020-05-16,2020-07-16,7.8125,0
11,Tigray,2020-02-16,2020-05-16,2020-07-16,23.18840579710145,1
6,Harari,2020-02-16,2020-05-16,2020-07-16,0.0,0
8,Sidama,2020-02-16,2020-05-16,2020-07-16,0.0,0
4,Dire Dawa,2020-02-16,2020-05-16,2020-07-16,0.0,0
3,Benishangul Gumz,2020-02-16,2020-05-16,2020-07-16,0.0,0
2,Amhara,2020-02-16,2020-05-16,2020-07-16,0.0,0
1,Afar,2020-02-16,2020-05-16,2020-07-16,0.0,0
0,Addis Ababa,2020-02-16,2020-05-16,2020-07-16,,0
5,Gambela,2020-02-16,2020-05-16,2020-07-16,80.0,1
10,Somali,2020-03-16,2020-06-16,2020-08-16,3.45679012345679,0
9,SNNP,2020-03-16,2020-06-16,2020-08-16,0.0,0
8,Sidama,2020-03-16,2020-06-16,2020-08-16,0.0,0
7,Oromia,2020-03-16,2020-06-16,2020-08-16,3.9906103286384975,0
6,Harari,2020-03-16,2020-06-16,2020-08-16,100.0,1
11,Tigray,2020-03-16,2020-06-16,2020-08-16,2.898550724637681,0
4,Dire Dawa,2020-03-16,2020-06-16,2020-08-16,0.0,0
3,Benishangul Gumz,2020-03-16,2020-06-16,2020-08-16,0.0,0
2,Amhara,2020-03-16,2020-06-16,2020-08-16,0.0,0
1,Afar,2020-03-16,2020-06-16,2020-08-16,0.0,0
0,Addis Ababa,2020-03-16,2020-06-16,2020-08-16,,0
5,Gambela,2020-03-16,2020-06-16,2020-08-16,0.0,0
11,Tigray,2020-04-16,2020-07-16,2020-09-16,0.0,0
10,Somali,2020-04-16,2020-07-16,2020-09-16,0.0,0
9,SNNP,2020-04-16,2020-07-16,2020-09-16,0.0,0
8,Sidama,2020-04-16,2020-07-16,2020-09-16,0.0,0
7,Oromia,2020-04-16,2020-07-16,2020-09-16,0.0,0
6,Harari,2020-04-16,2020-07-16,2020-09-16,0.0,0
5,Gambela,2020-04-16,2020-07-16,2020-09-16,0.0,0
3,Benishangul Gumz,2020-04-16,2020-07-16,2020-09-16,0.0,0
2,Amhara,2020-04-16,2020-07-16,2020-09-16,0.0,0
1,Afar,2020-04-16,2020-07-16,2020-09-16,0.0,0
0,Addis Ababa,2020-04-16,2020-07-16,2020-09-16,,0
4,Dire Dawa,2020-04-16,2020-07-16,2020-09-16,0.0,0
7,Oromia,2020-05-16,2020-08-16,2020-10-16,0.0,0
11,Tigray,2020-05-16,2020-08-16,2020-10-16,0.0,0
10,Somali,2020-05-16,2020-08-16,2020-10-16,28.14814814814815,1
9,SNNP,2020-05-16,2020-08-16,2020-10-16,0.0,0
8,Sidama,2020-05-16,2020-08-16,2020-10-16,0.0,0
6,Harari,2020-05-16,2020-08-16,2020-10-16,0.0,0
5,Gambela,2020-05-16,2020-08-16,2020-10-16,0.0,0
4,Dire Dawa,2020-05-16,2020-08-16,2020-10-16,0.0,0
3,Benishangul Gumz,2020-05-16,2020-08-16,2020-10-16,0.0,0
2,Amhara,2020-05-16,2020-08-16,2020-10-16,0.0,0
1,Afar,2020-05-16,2020-08-16,2020-10-16,0.0,0
0,Addis Ababa,2020-05-16,2020-08-16,2020-10-16,,0
10,Somali,2020-06-16,2020-09-16,2020-11-16,60.98765432098765,1
9,SNNP,2020-06-16,2020-09-16,2020-11-16,9.375,0
8,Sidama,2020-06-16,2020-09-16,2020-11-16,0.0,0
7,Oromia,2020-06-16,2020-09-16,2020-11-16,12.44131455399061,1
6,Harari,2020-06-16,2020-09-16,2020-11-16,0.0,0
11,Tigray,2020-06-16,2020-09-16,2020-11-16,0.0,0
4,Dire Dawa,2020-06-16,2020-09-16,2020-11-16,0.0,0
3,Benishangul Gumz,2020-06-16,2020-09-16,2020-11-16,0.0,0
2,Amhara,2020-06-16,2020-09-16,2020-11-16,0.0,0
1,Afar,2020-06-16,2020-09-16,2020-11-16,0.0,0
0,Addis Ababa,2020-06-16,2020-09-16,2020-11-16,,0
5,Gambela,2020-06-16,2020-09-16,2020-11-16,0.0,0
11,Tigray,2020-07-16,2020-10-16,2020-12-16,0.0,0
10,Somali,2020-07-16,2020-10-16,2020-12-16,63.70370370370371,1
9,SNNP,2020-07-16,2020-10-16,2020-12-16,3.125,0
8,Sidama,2020-07-16,2020-10-16,2020-12-16,11.11111111111111,1
7,Oromia,2020-07-16,2020-10-16,2020-12-16,46.71361502347418,1
6,Harari,2020-07-16,2020-10-16,2020-12-16,0.0,0
5,Gambela,2020-07-16,2020-10-16,2020-12-16,0.0,0
3,Benishangul Gumz,2020-07-16,2020-10-16,2020-12-16,0.0,0
2,Amhara,2020-07-16,2020-10-16,2020-12-16,2.8708133971291865,0
1,Afar,2020-07-16,2020-10-16,2020-12-16,4.918032786885246,0
0,Addis Ababa,2020-07-16,2020-10-16,2020-12-16,,0
4,Dire Dawa,2020-07-16,2020-10-16,2020-12-16,100.0,1
7,Oromia,2020-08-16,2020-11-16,2021-01-16,74.64788732394366,1
10,Somali,2020-08-16,2020-11-16,2021-01-16,87.65432098765432,1
9,SNNP,2020-08-16,2020-11-16,2021-01-16,64.0625,1
11,Tigray,2020-08-16,2020-11-16,2021-01-16,1.4492753623188406,0
6,Harari,2020-08-16,2020-11-16,2021-01-16,100.0,1
8,Sidama,2020-08-16,2020-11-16,2021-01-16,100.0,1
4,Dire Dawa,2020-08-16,2020-11-16,2021-01-16,100.0,1
3,Benishangul Gumz,2020-08-16,2020-11-16,2021-01-16,0.0,0
2,Amhara,2020-08-16,2020-11-16,2021-01-16,30.62200956937799,1
1,Afar,2020-08-16,2020-11-16,2021-01-16,36.885245901639344,1
0,Addis Ababa,2020-08-16,2020-11-16,2021-01-16,,0
5,Gambela,2020-08-16,2020-11-16,2021-01-16,0.0,0
10,Somali,2020-09-16,2020-12-16,2021-02-16,59.25925925925925,1
9,SNNP,2020-09-16,2020-12-16,2021-02-16,0.78125,0
8,Sidama,2020-09-16,2020-12-16,2021-02-16,0.0,0
7,Oromia,2020-09-16,2020-12-16,2021-02-16,38.967136150234744,1
6,Harari,2020-09-16,2020-12-16,2021-02-16,100.0,1
11,Tigray,2020-09-16,2020-12-16,2021-02-16,10.144927536231885,1
4,Dire Dawa,2020-09-16,2020-12-16,2021-02-16,100.0,1
3,Benishangul Gumz,2020-09-16,2020-12-16,2021-02-16,0.0,0
2,Amhara,2020-09-16,2020-12-16,2021-02-16,34.44976076555024,1
1,Afar,2020-09-16,2020-12-16,2021-02-16,81.14754098360656,1
0,Addis Ababa,2020-09-16,2020-12-16,2021-02-16,,0
5,Gambela,2020-09-16,2020-12-16,2021-02-16,0.0,0
11,Tigray,2020-10-16,2021-01-16,2021-03-16,0.0,0
10,Somali,2020-10-16,2021-01-16,2021-03-16,2.4691358024691357,0
9,SNNP,2020-10-16,2021-01-16,2021-03-16,0.0,0
8,Sidama,2020-10-16,2021-01-16,2021-03-16,0.0,0
7,Oromia,2020-10-16,2021-01-16,2021-03-16,0.0,0
6,Harari,2020-10-16,2021-01-16,2021-03-16,0.0,0
5,Gambela,2020-10-16,2021-01-16,2021-03-16,0.0,0
3,Benishangul Gumz,2020-10-16,2021-01-16,2021-03-16,0.0,0
2,Amhara,2020-10-16,2021-01-16,2021-03-16,0.0,0
1,Afar,2020-10-16,2021-01-16,2021-03-16,13.934426229508196,1
0,Addis Ababa,2020-10-16,2021-01-16,2021-03-16,,0
4,Dire Dawa,2020-10-16,2021-01-16,2021-03-16,0.0,0
7,Oromia,2020-11-16,2021-02-16,2021-04-16,0.0,0
10,Somali,2020-11-16,2021-02-16,2021-04-16,7.160493827160494,0
9,SNNP,2020-11-16,2021-02-16,2021-04-16,0.0,0
11,Tigray,2020-11-16,2021-02-16,2021-04-16,0.0,0
6,Harari,2020-11-16,2021-02-16,2021-04-16,0.0,0
8,Sidama,2020-11-16,2021-02-16,2021-04-16,0.0,0
4,Dire Dawa,2020-11-16,2021-02-16,2021-04-16,0.0,0
3,Benishangul Gumz,2020-11-16,2021-02-16,2021-04-16,0.0,0
2,Amhara,2020-11-16,2021-02-16,2021-04-16,15.311004784688995,1
1,Afar,2020-11-16,2021-02-16,2021-04-16,7.377049180327869,0
0,Addis Ababa,2020-11-16,2021-02-16,2021-04-16,,0
5,Gambela,2020-11-16,2021-02-16,2021-04-16,0.0,0
11,Tigray,2020-12-16,2021-03-16,2021-05-16,0.0,0
10,Somali,2020-12-16,2021-03-16,2021-05-16,0.0,0
9,SNNP,2020-12-16,2021-03-16,2021-05-16,28.125,1
8,Sidama,2020-12-16,2021-03-16,2021-05-16,0.0,0
7,Oromia,2020-12-16,2021-03-16,2021-05-16,9.15492957746479,0
6,Harari,2020-12-16,2021-03-16,2021-05-16,0.0,0
5,Gambela,2020-12-16,2021-03-16,2021-05-16,77.77777777777779,1
4,Dire Dawa,2020-12-16,2021-03-16,2021-05-16,0.0,0
3,Benishangul Gumz,2020-12-16,2021-03-16,2021-05-16,0.0,0
2,Amhara,2020-12-16,2021-03-16,2021-05-16,0.0,0
1,Afar,2020-12-16,2021-03-16,2021-05-16,0.0,0
0,Addis Ababa,2020-12-16,2021-03-16,2021-05-16,,0
10,Somali,2021-01-16,2021-04-16,2021-06-16,0.49382716049382713,0
9,SNNP,2021-01-16,2021-04-16,2021-06-16,22.65625,1
11,Tigray,2021-01-16,2021-04-16,2021-06-16,0.0,0
8,Sidama,2021-01-16,2021-04-16,2021-06-16,0.0,0
7,Oromia,2021-01-16,2021-04-16,2021-06-16,4.929577464788732,0
6,Harari,2021-01-16,2021-04-16,2021-06-16,0.0,0
2,Amhara,2021-01-16,2021-04-16,2021-06-16,0.0,0
4,Dire Dawa,2021-01-16,2021-04-16,2021-06-16,0.0,0
3,Benishangul Gumz,2021-01-16,2021-04-16,2021-06-16,0.0,0
1,Afar,2021-01-16,2021-04-16,2021-06-16,0.0,0
0,Addis Ababa,2021-01-16,2021-04-16,2021-06-16,,0
5,Gambela,2021-01-16,2021-04-16,2021-06-16,97.77777777777777,1
9,SNNP,2021-02-16,2021-05-16,2021-07-16,2.34375,0
8,Sidama,2021-02-16,2021-05-16,2021-07-16,0.0,0
7,Oromia,2021-02-16,2021-05-16,2021-07-16,2.3474178403755865,0
6,Harari,2021-02-16,2021-05-16,2021-07-16,0.0,0
5,Gambela,2021-02-16,2021-05-16,2021-07-16,33.33333333333333,1
3,Benishangul Gumz,2021-02-16,2021-05-16,2021-07-16,0.0,0
2,Amhara,2021-02-16,2021-05-16,2021-07-16,2.8708133971291865,0
1,Afar,2021-02-16,2021-05-16,2021-07-16,0.0,0
0,Addis Ababa,2021-02-16,2021-05-16,2021-07-16,,0
10,Somali,2021-02-16,2021-05-16,2021-07-16,42.22222222222222,1
4,Dire Dawa,2021-02-16,2021-05-16,2021-07-16,0.0,0
11,Tigray,2021-02-16,2021-05-16,2021-07-16,23.18840579710145,1
